Year,Apples,Blueberries,Grapes,Lemons and limes,Oranges,Peaches and nectarines,Pears,Strawberries
2006,4455819,128850,5757267,854570,8166480,1132529,762970,1090436
2007,4122883,130290,6402277,723934,6917286,1279312,799180,1109215
2008,4365055,158260,6639960,561550,9140790,1304350,789110,1148350
2009,4394267,169050,6629198,827350,8280780,1200750,868357,1270640
2010,4210290,188926,6777731,800137,7477924,1254818,738085,1293650
2011,4281731,201030,6756457,834611,8078490,1176611,876087,1316150
2012,4078839,212168,6831902,912000,8268000,1049613,778583,1384360
2013,4731694,246559,7830637,827352,7500604,967059,795692,1382096
2014,5358740,262498,7152090,747520,6139826,959983,754415,1371530
2015,4556790,254012,6964593,820100,5763340,927787,744345,1390410
2016,5214040,269257,6982630,820100,5522940,855740,682061,1342947
2017,5240670,235210,6698520,800140,4615760,764410,669000,1234130
2018,4644790,255050,6890980,805580,3535340,700350,730740,1183870
2019,5028526,306900,6314915,876340,4832570,617884,648637,1035098
2020,4650684,294000,5388679,983390,4766350,560423,609628,1055963
