Year,Soyabeans,Spinach,Lettuce and chicory,Cabbages,Cauliflowers and broccoli,Carrots and turnips,"Onions and shallots, dry (excluding dehydrated)",Potatoes,Sweet potatoes,Tomatoes,"Chillies and peppers,green",Cucumbers
2006,87000620,343757,4640749,1165090,1179567,1505326,3249880,19989724,743937,12257172,998210,917007
2007,72859180,319100,4360066,911210,1180066,1450260,3612300,20179192,819641,14185180,906140,930970
2008,80748700,344270,4014590,1106580,1212634,1478680,3407370,18826578,836560,13700670,911810,915570
2009,91469550,390640,3827390,987100,1227285,1326830,3429100,19622476,883100,15457480,970510,922230
2010,90663290,333350,4105580,1052800,1196395,1341700,3338380,18350034,1081592,14053000,898340,880530
2011,84291400,345350,4070815,913300,1124818,1298800,3360970,19506150,1223068,13761700,916390,772720
2012,82790870,311450,4175610,895930,1232048,1374110,3242940,21090685,1201200,14478750,907270,806630
2013,91389350,335350,3829210,986560,1271050,1419460,3159350,19715480,1124230,13828580,845630,774080
2014,106877870,350410,3791140,958930,1222930,1443120,3166740,20056500,1341910,15875000,914490,799820
2015,106953940,343820,3795480,915210,1290330,1434260,3413100,20012720,1406860,14580440,870350,790570
2016,116931500,389205,4682031,1006817,1357466,1439660,3800670,20426359,1430903,12877049,856160,785663
2017,120064970,366984,4507730,1080729,1336220,1406180,3737100,20453430,1616880,11138620,804039,857870
2018,120514490,384669,3652420,884846,1214450,1497670,3284420,20421560,1241850,12613090,705790,700820
2019,96667090,480895,4159769,1129792,1354897,1691539,3550700,19251320,1624277,12162045,737319,750680
2020,112549240,367433,4402375,1202744,1259135,1582238,3821044,18789970,1558005,12227402,715220,646414
